variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),4.191,0.151,3.889,4.494,0,4.458,0.082,4.293,4.622,0,4.69,0.057,4.575,4.804,0,4.873,0.092,4.688,5.057,0,4.777,0.114,4.549,5.005,0
exp_imp,0.043,0.031,-0.019,0.105,0.171,0.059,0.016,0.028,0.091,0,0.068,0.012,0.043,0.093,0,0.083,0.014,0.055,0.11,0,0.156,0.02,0.117,0.196,0
I(exp_imp^2),-0.002,0.002,-0.007,0.003,0.456,-0.003,0.001,-0.005,-0,0.037,-0.004,0.001,-0.006,-0.002,0,-0.005,0.001,-0.007,-0.003,0,-0.011,0.002,-0.014,-0.007,0
areaUrban-Type Settlement,-0.13,0.105,-0.341,0.082,0.224,-0.034,0.061,-0.158,0.089,0.579,-0.033,0.048,-0.129,0.063,0.495,-0.071,0.081,-0.234,0.093,0.389,0.012,0.089,-0.167,0.19,0.897
areaCity,0.097,0.111,-0.126,0.319,0.388,0.096,0.086,-0.078,0.269,0.272,0.176,0.056,0.063,0.289,0.003,0.196,0.071,0.054,0.338,0.008,0.162,0.089,-0.018,0.342,0.076
areaRegional Center,0.118,0.236,-0.356,0.593,0.619,0.126,0.235,-0.345,0.597,0.594,0.2,0.211,-0.225,0.624,0.349,0.179,0.226,-0.274,0.632,0.431,0.289,0.192,-0.097,0.674,0.139
sexMale,0.354,0.047,0.26,0.448,0,0.275,0.025,0.226,0.324,0,0.248,0.024,0.199,0.296,0,0.261,0.031,0.199,0.323,0,0.262,0.033,0.195,0.329,0
marital_status2. Married/Civil partnership,-0.086,0.047,-0.18,0.008,0.073,-0.042,0.031,-0.105,0.02,0.181,0.018,0.026,-0.034,0.069,0.495,-0.004,0.028,-0.061,0.053,0.879,-0.015,0.035,-0.085,0.055,0.668
marital_status3. Divorced/Separated/Widowed,-0.066,0.128,-0.324,0.192,0.607,-0.006,0.086,-0.178,0.166,0.945,-0.002,0.074,-0.151,0.147,0.978,0.021,0.072,-0.124,0.165,0.775,0.104,0.089,-0.074,0.282,0.246
O,0.047,0.024,-0.002,0.096,0.058,0.052,0.018,0.015,0.088,0.006,0.056,0.015,0.027,0.085,0,0.064,0.016,0.031,0.096,0,0.101,0.019,0.062,0.139,0
C,0.018,0.027,-0.037,0.074,0.504,0.01,0.019,-0.028,0.047,0.61,-0,0.013,-0.026,0.026,0.993,-0.018,0.014,-0.046,0.01,0.199,-0.041,0.017,-0.075,-0.007,0.018
E,-0.003,0.02,-0.042,0.036,0.871,0.011,0.013,-0.014,0.036,0.375,0.021,0.012,-0.003,0.045,0.082,0.026,0.014,-0.002,0.055,0.071,0.028,0.015,-0.002,0.057,0.067
A,0.001,0.018,-0.036,0.038,0.975,0.011,0.012,-0.014,0.036,0.363,0.013,0.014,-0.015,0.041,0.361,0.005,0.015,-0.025,0.035,0.726,0.005,0.016,-0.027,0.037,0.755
ES,0.035,0.024,-0.014,0.084,0.16,0.022,0.015,-0.01,0.053,0.169,0.014,0.012,-0.01,0.038,0.247,-0.003,0.014,-0.031,0.025,0.832,-0.014,0.014,-0.042,0.013,0.302
