variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
areaUrban-Type Settlement,-0.01,0.098,-0.207,0.188,0.923,-0.001,0.102,-0.207,0.205,0.993,-0.057,0.113,-0.285,0.171,0.619,-0.077,0.102,-0.283,0.128,0.454,-0.093,0.147,-0.39,0.203,0.529,Secondary Vocational
areaCity,0.033,0.113,-0.194,0.26,0.772,0.058,0.105,-0.152,0.268,0.58,0.117,0.103,-0.089,0.324,0.259,0.108,0.107,-0.106,0.322,0.314,0.087,0.14,-0.194,0.368,0.537,Secondary Vocational
areaRegional Center,0.118,0.536,-0.959,1.196,0.826,0.168,0.513,-0.862,1.198,0.744,0.271,0.53,-0.794,1.335,0.612,0.325,0.505,-0.689,1.339,0.523,0.332,0.57,-0.813,1.477,0.562,Secondary Vocational
sexMale,0.445,0.056,0.332,0.558,0,0.367,0.057,0.253,0.481,0,0.329,0.055,0.218,0.439,0,0.304,0.053,0.198,0.41,0,0.377,0.052,0.272,0.482,0,Secondary Vocational
marital_status2. Married/Civil partnership,0.011,0.055,-0.1,0.121,0.846,0.017,0.048,-0.08,0.114,0.721,0.068,0.044,-0.021,0.158,0.13,0.074,0.054,-0.035,0.182,0.178,0.032,0.072,-0.113,0.178,0.658,Secondary Vocational
marital_status3. Divorced/Separated/Widowed,0.337,0.152,0.031,0.643,0.031,0.108,0.133,-0.16,0.376,0.423,0.093,0.11,-0.127,0.314,0.399,0.129,0.127,-0.127,0.385,0.315,0.041,0.184,-0.329,0.411,0.824,Secondary Vocational
regionКраснодар,-0.118,0.542,-1.207,0.972,0.829,-0.378,0.507,-1.397,0.641,0.46,-0.416,0.539,-1.499,0.666,0.443,-0.524,0.506,-1.54,0.492,0.305,-0.604,0.552,-1.712,0.504,0.279,Secondary Vocational
"regionУдмуртская Республика, Глазов и Глазовский",-0.638,0.217,-1.073,-0.202,0.005,-0.716,0.278,-1.275,-0.157,0.013,-0.704,0.295,-1.297,-0.11,0.021,-0.736,0.286,-1.31,-0.163,0.013,-0.682,0.315,-1.315,-0.049,0.035,Secondary Vocational
"regionПермский край, Соликамск и Соликамский райо",-0.346,0.326,-1.002,0.31,0.294,-0.331,0.186,-0.705,0.043,0.081,-0.312,0.229,-0.772,0.147,0.178,-0.277,0.167,-0.612,0.058,0.103,-0.29,0.23,-0.752,0.173,0.215,Secondary Vocational
"regionКалужская область, Куйбышевский район",-0.365,0.223,-0.813,0.083,0.108,-0.48,0.313,-1.109,0.148,0.131,-0.3,0.433,-1.17,0.571,0.492,-0.108,0.401,-0.914,0.699,0.79,-0.244,0.409,-1.065,0.577,0.553,Secondary Vocational
"regionТамбовская область, Уварово и Уваровский ра",-0.652,0.254,-1.163,-0.141,0.013,-0.697,0.169,-1.038,-0.357,0,-0.724,0.231,-1.188,-0.261,0.003,-0.646,0.209,-1.065,-0.226,0.003,-0.482,0.306,-1.096,0.132,0.121,Secondary Vocational
"regionВолгоградская область, Руднянский район",-0.906,0.18,-1.268,-0.544,0,-0.867,0.219,-1.307,-0.428,0,-0.722,0.264,-1.252,-0.191,0.009,-0.504,0.231,-0.969,-0.039,0.034,-0.539,0.199,-0.938,-0.14,0.009,Secondary Vocational
regionКазань,-0.566,0.521,-1.612,0.48,0.282,-0.584,0.514,-1.617,0.448,0.261,-0.566,0.544,-1.66,0.528,0.304,-0.594,0.564,-1.728,0.539,0.297,-0.649,0.534,-1.722,0.424,0.23,Secondary Vocational
regionКурган,-0.437,0.588,-1.618,0.744,0.46,-0.739,0.516,-1.776,0.298,0.158,-0.745,0.652,-2.054,0.564,0.258,-0.58,0.527,-1.64,0.48,0.277,-0.583,0.607,-1.804,0.637,0.341,Secondary Vocational
"regionОренбургская область, Орск",-0.438,0.197,-0.834,-0.041,0.031,-0.565,0.184,-0.935,-0.195,0.004,-0.541,0.243,-1.03,-0.053,0.031,-0.582,0.135,-0.853,-0.311,0,-0.585,0.217,-1.02,-0.149,0.01,Secondary Vocational
"regionРеспублика Чувашия, Шумерля и Шумерлинский",-0.449,0.395,-1.242,0.345,0.262,-0.579,0.568,-1.721,0.563,0.313,-0.45,0.248,-0.947,0.048,0.075,-0.352,0.301,-0.957,0.253,0.248,-0.498,0.35,-1.201,0.205,0.161,Secondary Vocational
"regionСтавропольский край, Георгиевск и Георгиев",-0.639,0.217,-1.075,-0.203,0.005,-0.678,0.198,-1.075,-0.281,0.001,-0.602,0.222,-1.049,-0.155,0.009,-0.459,0.157,-0.774,-0.144,0.005,-0.33,0.208,-0.748,0.087,0.118,Secondary Vocational
"regionАлтайский край, Курьинский район",-0.666,0.21,-1.089,-0.243,0.003,-0.9,0.23,-1.362,-0.438,0,-0.787,0.373,-1.537,-0.037,0.04,-0.419,0.486,-1.395,0.557,0.392,-0.614,0.349,-1.316,0.089,0.085,Secondary Vocational
regionКрасноярск,-0.249,0.514,-1.282,0.783,0.63,-0.484,0.486,-1.46,0.493,0.324,-0.437,0.566,-1.575,0.7,0.443,-0.403,0.516,-1.44,0.633,0.438,-0.333,0.594,-1.527,0.861,0.578,Secondary Vocational
"regionТверская область, Ржев и Ржевский район",-0.135,0.254,-0.645,0.375,0.597,-0.3,0.256,-0.814,0.215,0.248,-0.279,0.266,-0.814,0.256,0.299,-0.238,0.233,-0.706,0.229,0.311,-0.39,0.282,-0.956,0.176,0.173,Secondary Vocational
regionСаратов,-0.29,0.568,-1.431,0.851,0.612,-0.617,0.551,-1.725,0.49,0.268,-0.361,0.605,-1.577,0.856,0.554,-0.394,0.518,-1.435,0.647,0.451,-0.406,0.594,-1.599,0.788,0.498,Secondary Vocational
regionТомск,-0.073,0.572,-1.223,1.076,0.899,-0.322,0.548,-1.424,0.78,0.56,-0.182,0.626,-1.44,1.075,0.772,-0.247,0.569,-1.391,0.897,0.666,-0.136,0.556,-1.253,0.98,0.807,Secondary Vocational
regionЛипецк,-0.576,0.587,-1.755,0.603,0.331,-0.768,0.52,-1.813,0.277,0.146,-0.786,0.554,-1.9,0.327,0.162,-0.875,0.538,-1.957,0.206,0.11,-0.95,0.593,-2.141,0.241,0.115,Secondary Vocational
"regionКрасноярский край, Назарово и Назаровский р",-0.047,0.23,-0.51,0.416,0.84,-0.371,0.326,-1.025,0.283,0.26,-0.258,0.202,-0.663,0.148,0.207,-0.202,0.194,-0.591,0.187,0.302,-0.094,0.319,-0.734,0.547,0.77,Secondary Vocational
regionРеспублика Кабардино-Балкария: Залукокоаже,-0.063,0.167,-0.398,0.272,0.707,-0.357,0.17,-0.698,-0.016,0.04,-0.415,0.145,-0.707,-0.124,0.006,-0.408,0.14,-0.689,-0.127,0.005,-0.471,0.169,-0.811,-0.132,0.008,Secondary Vocational
"regionАлтайский край, Бийск и Бийский район",-0.857,0.4,-1.661,-0.052,0.037,-0.64,0.581,-1.809,0.528,0.276,-0.636,0.513,-1.667,0.395,0.221,-0.664,0.178,-1.022,-0.306,0,-0.752,0.333,-1.422,-0.083,0.028,Secondary Vocational
"regionКоми Республика, Усинск и Усинский район (1994",0.215,0.3,-0.386,0.817,0.475,0.186,0.194,-0.204,0.577,0.343,0.157,0.259,-0.363,0.677,0.548,0.205,0.179,-0.155,0.566,0.258,0.032,0.233,-0.436,0.5,0.893,Secondary Vocational
regionВладивосток,-0.259,0.845,-1.957,1.438,0.76,-0.21,0.486,-1.187,0.768,0.668,-0.233,0.601,-1.442,0.975,0.7,-0.219,0.562,-1.347,0.91,0.699,-0.206,0.572,-1.355,0.943,0.72,Secondary Vocational
"regionАмурская область, Тамбовский район",-0.3,0.233,-0.769,0.169,0.205,-0.223,0.253,-0.732,0.286,0.383,-0.192,0.205,-0.604,0.221,0.355,-0.199,0.179,-0.558,0.16,0.271,-0.085,0.217,-0.522,0.351,0.696,Secondary Vocational
"regionСаратовская область, Вольск и Вольский райо",-0.371,0.205,-0.783,0.04,0.076,-0.582,0.186,-0.955,-0.208,0.003,-0.448,0.196,-0.842,-0.054,0.027,-0.347,0.266,-0.883,0.188,0.199,-0.386,0.312,-1.013,0.241,0.222,Secondary Vocational
"regionКоми Республика, Сыктывкар",-0.217,0.591,-1.405,0.97,0.714,-0.363,0.554,-1.476,0.75,0.515,-0.294,0.611,-1.522,0.933,0.632,-0.32,0.551,-1.428,0.788,0.565,-0.283,0.584,-1.456,0.89,0.63,Secondary Vocational
regionЧелябинск,-0.453,0.569,-1.596,0.69,0.43,-0.581,0.553,-1.693,0.531,0.299,-0.433,0.574,-1.587,0.721,0.454,-0.454,0.5,-1.458,0.55,0.368,-0.293,0.567,-1.434,0.847,0.607,Secondary Vocational
"regionЧелябинская область, Красноармейский район",-0.146,0.234,-0.616,0.323,0.534,-0.275,0.194,-0.665,0.115,0.163,-0.268,0.212,-0.694,0.159,0.213,-0.287,0.202,-0.692,0.118,0.161,-0.203,0.234,-0.673,0.268,0.39,Secondary Vocational
regionНижний Новгород,-0.37,0.564,-1.504,0.765,0.516,-0.466,0.508,-1.487,0.554,0.363,-0.426,0.549,-1.53,0.678,0.442,-0.372,0.518,-1.413,0.669,0.476,-0.329,0.563,-1.461,0.803,0.562,Secondary Vocational
"regionПензенская область, Земетчинский район",-0.142,0.722,-1.593,1.309,0.845,-1.075,0.528,-2.136,-0.013,0.047,-0.806,0.544,-1.899,0.286,0.144,-1.064,0.438,-1.943,-0.184,0.019,-0.284,0.631,-1.553,0.985,0.655,Secondary Vocational
"regionКраснодарский край, Кущевский район",-0.627,0.296,-1.222,-0.031,0.04,-0.586,0.199,-0.986,-0.185,0.005,-0.388,0.174,-0.738,-0.038,0.031,-0.292,0.146,-0.586,0.002,0.052,-0.289,0.211,-0.713,0.134,0.176,Secondary Vocational
regionСмоленск,-0.39,0.547,-1.49,0.71,0.48,-0.7,0.508,-1.721,0.322,0.175,-0.607,0.551,-1.714,0.5,0.276,-0.655,0.533,-1.725,0.415,0.225,-0.748,0.615,-1.983,0.487,0.23,Secondary Vocational
regionТула,-0.518,1.665,-3.864,2.828,0.757,-0.57,0.554,-1.683,0.544,0.309,-0.355,0.663,-1.687,0.976,0.594,-0.319,0.499,-1.322,0.683,0.525,-0.414,0.564,-1.547,0.719,0.466,Secondary Vocational
"regionРостовская область, Батайск",-0.158,0.197,-0.554,0.237,0.425,-0.375,0.178,-0.732,-0.018,0.04,-0.4,0.199,-0.8,-0.001,0.049,-0.395,0.145,-0.687,-0.103,0.009,-0.495,0.191,-0.878,-0.112,0.012,Secondary Vocational
regionМосква,0.068,0.509,-0.955,1.091,0.894,-0.108,0.526,-1.165,0.949,0.838,-0.09,0.539,-1.172,0.993,0.869,-0.042,0.523,-1.092,1.008,0.936,0.025,0.564,-1.109,1.158,0.965,Secondary Vocational
regionСанкт-Петербург,0.059,0.55,-1.046,1.163,0.916,-0.195,0.521,-1.242,0.853,0.71,-0.185,0.524,-1.239,0.868,0.725,-0.262,0.534,-1.335,0.812,0.627,-0.21,0.587,-1.39,0.97,0.722,Secondary Vocational
regionМосковская область,0.11,0.169,-0.229,0.449,0.517,-0.037,0.188,-0.414,0.341,0.847,0.213,0.202,-0.193,0.618,0.298,0.215,0.129,-0.044,0.473,0.101,0.207,0.148,-0.091,0.505,0.169,Secondary Vocational
"regionНовосибирская область, Бердский район (с 2003",-0.309,0.245,-0.802,0.184,0.213,-0.438,0.164,-0.768,-0.108,0.01,-0.292,0.262,-0.819,0.236,0.272,-0.18,0.24,-0.662,0.301,0.455,-0.132,0.195,-0.524,0.26,0.501,Secondary Vocational
O,0.075,0.039,-0.003,0.153,0.058,0.048,0.031,-0.015,0.111,0.134,0.056,0.03,-0.003,0.115,0.064,0.064,0.028,0.007,0.121,0.028,0.072,0.031,0.01,0.135,0.024,Secondary Vocational
C,-0.028,0.029,-0.087,0.031,0.345,-0.021,0.023,-0.067,0.024,0.352,-0.024,0.018,-0.061,0.012,0.189,-0.017,0.024,-0.064,0.031,0.486,0.003,0.027,-0.05,0.057,0.901,Secondary Vocational
E,-0.008,0.031,-0.071,0.055,0.789,0.012,0.018,-0.024,0.047,0.512,0.024,0.017,-0.009,0.058,0.153,0.037,0.023,-0.008,0.083,0.105,0.027,0.021,-0.016,0.07,0.209,Secondary Vocational
A,-0.004,0.042,-0.088,0.079,0.919,0.033,0.03,-0.027,0.093,0.276,0.019,0.026,-0.032,0.07,0.457,0.01,0.02,-0.03,0.05,0.612,-0.002,0.031,-0.064,0.059,0.941,Secondary Vocational
ES,-0.028,0.032,-0.092,0.035,0.372,0.001,0.019,-0.037,0.038,0.973,-0.004,0.024,-0.053,0.044,0.861,-0.014,0.023,-0.06,0.031,0.527,-0,0.03,-0.06,0.06,0.994,Secondary Vocational
(Intercept),3.953,0.102,3.748,4.159,0,4.506,0.11,4.285,4.726,0,4.588,0.09,4.407,4.77,0,4.676,0.082,4.511,4.84,0,4.783,0.128,4.526,5.04,0,Secondary or below
exp_imp,0.082,0.034,0.014,0.15,0.019,0.016,0.022,-0.028,0.061,0.469,0.062,0.021,0.019,0.104,0.005,0.097,0.018,0.06,0.133,0,0.145,0.028,0.089,0.202,0,Secondary or below
I(exp_imp^2),-0.005,0.003,-0.011,0.001,0.094,0,0.002,-0.003,0.004,0.835,-0.003,0.002,-0.006,0,0.081,-0.006,0.001,-0.009,-0.004,0,-0.01,0.002,-0.014,-0.005,0,Secondary or below
areaUrban-Type Settlement,0.058,0.085,-0.113,0.228,0.499,-0.162,0.101,-0.366,0.041,0.115,-0.124,0.094,-0.312,0.064,0.192,-0.079,0.092,-0.265,0.106,0.394,-0.01,0.137,-0.286,0.266,0.942,Secondary or below
areaCity,0.274,0.097,0.081,0.468,0.006,0.035,0.11,-0.185,0.256,0.748,0.139,0.087,-0.036,0.313,0.118,0.237,0.092,0.053,0.421,0.013,0.218,0.121,-0.025,0.461,0.078,Secondary or below
areaRegional Center,-0.064,0.156,-0.378,0.25,0.685,-0.159,0.141,-0.442,0.124,0.264,-0.107,0.112,-0.332,0.118,0.345,-0.059,0.145,-0.35,0.231,0.684,-0.062,0.143,-0.349,0.224,0.665,Secondary or below
sexMale,0.294,0.075,0.144,0.443,0,0.256,0.047,0.163,0.35,0,0.311,0.044,0.222,0.4,0,0.335,0.052,0.231,0.438,0,0.337,0.058,0.219,0.454,0,Secondary or below
marital_status2. Married/Civil partnership,0.024,0.08,-0.136,0.185,0.762,0.03,0.054,-0.077,0.138,0.573,0.035,0.044,-0.054,0.124,0.435,0.029,0.054,-0.079,0.138,0.591,-0.007,0.06,-0.129,0.114,0.905,Secondary or below
marital_status3. Divorced/Separated/Widowed,0.016,0.158,-0.301,0.333,0.919,-0.017,0.102,-0.222,0.189,0.869,-0.01,0.094,-0.2,0.18,0.916,-0.039,0.081,-0.202,0.125,0.637,-0.183,0.126,-0.436,0.069,0.151,Secondary or below
regionКраснодар,0.294,0.215,-0.137,0.725,0.177,0.287,0.179,-0.074,0.647,0.116,0.04,0.144,-0.249,0.329,0.782,-0.006,0.189,-0.385,0.373,0.973,-0.123,0.196,-0.518,0.271,0.533,Secondary or below
"regionУдмуртская Республика, Глазов и Глазовский",-0.45,0.238,-0.928,0.029,0.065,-0.377,0.216,-0.811,0.057,0.087,-0.497,0.224,-0.948,-0.047,0.031,-0.39,0.309,-1.011,0.231,0.213,-0.477,0.253,-0.986,0.032,0.065,Secondary or below
"regionПермский край, Соликамск и Соликамский райо",-0.324,0.216,-0.758,0.11,0.14,-0.376,0.156,-0.691,-0.062,0.02,-0.395,0.167,-0.73,-0.059,0.022,-0.33,0.144,-0.619,-0.04,0.026,-0.366,0.185,-0.738,0.007,0.054,Secondary or below
"regionКалужская область, Куйбышевский район",0.058,0.426,-0.799,0.915,0.892,-0.377,0.369,-1.118,0.365,0.312,-0.123,0.163,-0.451,0.205,0.454,-0.04,0.195,-0.432,0.352,0.839,-0.228,0.224,-0.678,0.223,0.314,Secondary or below
"regionТамбовская область, Уварово и Уваровский ра",-0.597,0.195,-0.988,-0.206,0.003,-0.626,0.172,-0.971,-0.281,0.001,-0.65,0.14,-0.93,-0.369,0,-0.736,0.143,-1.024,-0.448,0,-0.729,0.179,-1.09,-0.369,0,Secondary or below
"regionВолгоградская область, Руднянский район",-0.235,0.245,-0.727,0.257,0.341,-0.492,0.191,-0.876,-0.107,0.013,-0.451,0.199,-0.851,-0.052,0.028,-0.063,0.392,-0.852,0.725,0.872,0.034,0.285,-0.539,0.607,0.905,Secondary or below
