variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
"regionПензенская область, Земетчинский район",-0.676,0.159,-0.995,-0.357,0,-0.927,0.176,-1.281,-0.572,0,-0.949,0.168,-1.286,-0.611,0,-0.801,0.394,-1.593,-0.008,0.048,-0.888,0.368,-1.628,-0.148,0.02,Secondary or below
"regionКраснодарский край, Кущевский район",-0.258,0.133,-0.524,0.009,0.058,-0.377,0.144,-0.667,-0.086,0.012,-0.475,0.179,-0.835,-0.114,0.011,-0.371,0.162,-0.697,-0.044,0.027,-0.154,0.214,-0.585,0.277,0.476,Secondary or below
regionСмоленск,0.146,0.213,-0.282,0.573,0.496,-0.039,0.171,-0.383,0.304,0.819,-0.041,0.176,-0.395,0.312,0.816,-0.115,0.168,-0.454,0.224,0.498,-0.001,0.193,-0.388,0.386,0.995,Secondary or below
regionТула,0.308,0.199,-0.091,0.707,0.128,0.154,0.169,-0.186,0.494,0.368,0.059,0.19,-0.322,0.44,0.758,0.106,0.197,-0.29,0.503,0.593,-0.001,0.199,-0.402,0.399,0.994,Secondary or below
"regionРостовская область, Батайск",-0.329,0.373,-1.078,0.42,0.382,-0.26,0.162,-0.584,0.065,0.114,-0.403,0.148,-0.7,-0.106,0.009,-0.389,0.13,-0.651,-0.127,0.004,-0.508,0.162,-0.834,-0.182,0.003,Secondary or below
regionМосква,0.524,0.153,0.216,0.832,0.001,0.296,0.146,0.002,0.591,0.049,0.378,0.128,0.12,0.636,0.005,0.539,0.151,0.236,0.842,0.001,0.466,0.157,0.15,0.782,0.005,Secondary or below
regionСанкт-Петербург,0.509,0.181,0.146,0.873,0.007,0.484,0.19,0.101,0.866,0.014,0.31,0.159,-0.009,0.63,0.056,0.274,0.192,-0.112,0.66,0.16,0.445,0.222,-0.001,0.891,0.051,Secondary or below
regionМосковская область,0.317,0.156,0.004,0.63,0.048,0.247,0.132,-0.017,0.511,0.066,0.138,0.14,-0.145,0.42,0.332,0.21,0.134,-0.059,0.479,0.123,0.198,0.166,-0.136,0.532,0.238,Secondary or below
"regionНовосибирская область, Бердский район (с 2003",-0.254,0.144,-0.544,0.037,0.085,-0.093,0.193,-0.481,0.294,0.631,-0.276,0.198,-0.674,0.123,0.171,-0.151,0.217,-0.588,0.286,0.49,-0.123,0.161,-0.448,0.201,0.448,Secondary or below
O,-0.012,0.036,-0.084,0.06,0.746,0.015,0.023,-0.032,0.062,0.527,0.026,0.022,-0.019,0.071,0.248,0.023,0.028,-0.033,0.078,0.42,0.039,0.031,-0.024,0.101,0.221,Secondary or below
C,0.027,0.041,-0.055,0.109,0.505,0.029,0.027,-0.026,0.083,0.297,0.013,0.025,-0.037,0.062,0.612,-0.001,0.027,-0.055,0.054,0.985,-0.055,0.033,-0.121,0.01,0.095,Secondary or below
E,-0.014,0.032,-0.078,0.05,0.659,0.025,0.035,-0.045,0.095,0.475,0.016,0.019,-0.022,0.054,0.413,0.023,0.029,-0.034,0.081,0.424,0.068,0.027,0.013,0.123,0.016,Secondary or below
A,0.02,0.03,-0.04,0.08,0.507,0.014,0.028,-0.043,0.071,0.626,0.003,0.021,-0.039,0.045,0.896,0.031,0.029,-0.026,0.089,0.28,0.016,0.024,-0.031,0.064,0.493,Secondary or below
ES,0.054,0.035,-0.017,0.125,0.135,0.044,0.029,-0.014,0.101,0.135,0.02,0.025,-0.031,0.071,0.43,-0.004,0.026,-0.056,0.049,0.886,-0.008,0.032,-0.073,0.057,0.803,Secondary or below
