variable,X0.1.Value,X0.1.Std..Error,X0.1.lower.bound,X0.1.upper.bound,X0.1.Pr...t..,X0.25.Value,X0.25.Std..Error,X0.25.lower.bound,X0.25.upper.bound,X0.25.Pr...t..,X0.5.Value,X0.5.Std..Error,X0.5.lower.bound,X0.5.upper.bound,X0.5.Pr...t..,X0.75.Value,X0.75.Std..Error,X0.75.lower.bound,X0.75.upper.bound,X0.75.Pr...t..,X0.9.Value,X0.9.Std..Error,X0.9.lower.bound,X0.9.upper.bound,X0.9.Pr...t..,model
(Intercept)...1,3.950539350402653,0.21526606853080701,3.5179459896889775,4.383132711116329,1.339814474177952e-23,4.528063414026054,0.16508205899894432,4.196318596167467,4.8598082318846405,2.1568061017997894e-31,4.732388634963014,0.1606528083664545,4.409544729494518,5.05523254043151,7.961121489983101e-33,4.8598031619793005,0.16479869888481016,4.528627777589268,5.190978546369333,7.568659317489483e-33,5.294778503263259,0.22081510968833096,4.851033926849611,5.738523079676906,1.0002716027545624e-28,Tertiary
exp_imp...2,0.005695924507851146,0.03828657512774628,-0.07124382878335604,0.08263567779905832,0.8823450790085969,-0.005791124273386272,0.02225590477381394,-0.0505160393867492,0.038933790839976654,0.7957950558643162,0.004504129734469246,0.022661397090504343,-0.04103565269736088,0.05004391216629937,0.8432746063376538,0.0282361943490804,0.021078172197392667,-0.014121978542745914,0.07059436724090672,0.18655756776917376,-0.036896011047226784,0.04496943336581763,-0.1272654707669073,0.053473448672453724,0.4159226193672092,Tertiary
I(exp_imp^2)...3,9.421432650202821e-4,0.0035103411621615777,-0.0061121514083351015,0.007996437938375666,0.7895252532140102,9.448733664646984e-4,0.0021545647717664145,-0.0033848866456681,0.005274633378597497,0.6629188751439847,0.00085426871283320765,0.001994468296514179,-0.0031537653870810246,0.0048623028127474394,0.6702958108728088,-5.066640643484489e-5,0.001806526277975225,-0.0036810168798771105,0.0035796840670074205,0.9777391290417341,0.0032477275887478263,0.004060446021065567,-0.00491204418688549,0.011407499364381141,0.4276612765923573,Tertiary
areaUrban-Type Settlement...4,0.500758854726812,0.18323852661291598,0.1325272491574489,0.8689904602961751,0.008709733537062926,0.33688667863617106,0.1386038701192552,0.05835177347423842,0.6154215837981036,0.018781674208372665,0.29014342383617864,0.15025955525402676,-0.011814457544366275,0.5921013052167236,0.059285670472239614,0.36635600670465196,0.14682081278618803,0.07130853703434042,0.6614034763749634,0.016003931249626367,0.3653244042406255,0.143136397495844,0.07768104430108969,0.6529677641801613,0.013869967484864522,Tertiary
areaCity...5,0.2615562882516862,0.15886576247242493,-0.05769641404055459,0.580808990543927,0.10608164708916372,0.17971532165207943,0.176191890367543,-0.17435553821352484,0.5337861815176836,0.3127393660806351,0.17345717547281594,0.15754606033312224,-0.14314348607989566,0.4900578370255275,0.2762787304498901,0.3124360586579821,0.15275698124318127,0.0054594118530692515,0.6194127054628948,0.04621277926003671,0.25986574072440577,0.15891454307602332,-0.05948498986087858,0.5792164713096901,0.10840439426400635,Tertiary
areaRegional Center...6,0.26381873964739433,0.551317893415546,-0.8440960467467444,1.371733526041533,0.6344057674698527,0.2014912107519255,0.5558888684504212,-0.9156092938818343,1.3185917153856854,0.718562036080712,0.28820357722480777,0.5449744258351943,-0.806963533802324,1.3833706882519394,0.59930483278487,0.24333838294679333,0.5537532006879051,-0.869470336636679,1.3561471025302656,0.6622785279457288,0.25134707347928015,0.5531866191288102,-0.8603230578332208,1.3630172047917812,0.651574592970332,Tertiary
sexMale...7,0.5901238032785034,0.08840820548728599,0.41246086277222016,0.7677867437847867,2.115405977973466e-8,0.3912718792767359,0.04607735114058583,0.2986759754321059,0.4838677831213659,3.4173959689432805e-11,0.3019041034170592,0.03726385717981532,0.2270195787885817,0.3767886280455367,1.3357250835986036e-10,0.28810361688946823,0.03250499206708619,0.22278238974836945,0.353424844030567,9.431502239127743e-12,0.2549999803058246,0.06766612700000989,0.11901980709416249,0.3909801535174867,4.4168067980274053e-4,Tertiary
marital_status2. Married/Civil partnership...8,-0.21860028246848617,0.08601203765820684,-0.3914479434414463,-0.045752621495526086,0.014252160173455432,-0.157238879816597,0.05111737281695716,-0.25996308641665744,-0.054514673216536566,0.003427341249385928,-0.06560569594845166,0.03894022234916126,-0.1438590025096327,0.012647610612729399,0.09839098988218453,-0.05901996710333738,0.03360136561045144,-0.1265444393678266,0.008504505161151858,0.08525541955066206,-0.10977958401491988,0.05967108848515843,-0.229693125807242,0.010133957777402211,0.07186747256824047,Tertiary
marital_status3. Divorced/Separated/Widowed...9,-0.04452580768647964,0.2797795342553316,-0.6067638315815458,0.5177122162085865,0.8742079708435166,0.021199062883956864,0.1468811136429717,-0.2739695858949248,0.3163677116628385,0.8858334258951469,0.1298295568026218,0.15536646654724495,-0.18239104705099005,0.4420501606562336,0.40741694594233036,0.1868866707319431,0.162229091722861,-0.13912489473628648,0.5128982362001726,0.25491392837352,0.06756161239259925,0.16906164521400802,-0.2721804833778003,0.40730370816299877,0.6911678744605785,Tertiary
regionКраснодар...10,0.02136311355756522,0.6151484258017191,-1.2148239300926031,1.2575501572077334,0.9724374123498016,-0.009681672483236693,0.5735910872135388,-1.1623561175856023,1.142992772619129,0.9866016481854554,-0.01559195923720249,0.5499269921725438,-1.1207116249361118,1.0895277064617068,0.9774959486434623,0.012213058876167414,0.5609236185539729,-1.115005154890824,1.1394312726431586,0.9827173578585344,0.05239048220969187,0.5805666300792791,-1.114301841101199,1.2190828055205827,0.9284641643293889,Tertiary
