variable,X0.1.Value,X0.1.Std..Error,X0.1.lower.bound,X0.1.upper.bound,X0.1.Pr...t..,X0.25.Value,X0.25.Std..Error,X0.25.lower.bound,X0.25.upper.bound,X0.25.Pr...t..,X0.5.Value,X0.5.Std..Error,X0.5.lower.bound,X0.5.upper.bound,X0.5.Pr...t..,X0.75.Value,X0.75.Std..Error,X0.75.lower.bound,X0.75.upper.bound,X0.75.Pr...t..,X0.9.Value,X0.9.Std..Error,X0.9.lower.bound,X0.9.upper.bound,X0.9.Pr...t..,model
(Intercept)...1,3.967869520427006,0.1994504278801363,3.5670588795242524,4.368680161329759,4.0678636190366875e-25,4.5435112458788804,0.15773722227928688,4.226526430012875,4.860496061744886,2.2513243180117515e-32,4.747739936592888,0.1600849069414659,4.426037271765179,5.069442601420596,5.810434652000498e-33,4.843268228071151,0.17419899671756364,4.493202237934778,5.193334218207525,1.1554059133935061e-31,5.297838867402854,0.21498519952929573,4.8658099340794925,5.729867800726216,2.8980563787460026e-29,Tertiary
exp_imp...2,0.010661431082935817,0.03416607725405411,-0.05799787171665589,0.07932073388252753,0.7563286125005909,-0.0037590461005039075,0.02520055356106614,-0.0544014544987715,0.04688336229776369,0.882035505462289,0.004464777711651659,0.025180363491319094,-0.04613705722241636,0.05506661264571967,0.8599943476500728,0.024465198471012164,0.025934541623146096,-0.027652214161159785,0.07658261110318411,0.35013310584411705,-0.030292953357321024,0.04486709077388975,-0.12045674793855965,0.059870841223917594,0.50274093776449,Tertiary
I(exp_imp^2)...3,7.542258236250797e-4,0.0030415648692716977,-0.0053580276197855575,0.0068664792670357164,0.8051915819333652,7.804213927671217e-4,0.0021721544654795155,-0.0035846864322802126,0.005145529217814456,0.7209259827557907,6.063578051603038e-4,0.002256577652916915,-0.003928404766800749,0.005141120377121357,0.7892834434488085,-2.1902659882379726e-4,0.002304092346287088,-0.0048492735219813395,0.004411220324333744,0.9246550013660332,0.0032099902940547122,0.0038775514726723166,-0.0045822411261215905,0.011002221714231014,0.4117752601050162,Tertiary
areaUrban-Type Settlement...4,0.4940288327369917,0.21509065733943875,0.06178797400980507,0.9262696914641784,0.025941281526718145,0.33096614341126407,0.16354766617903704,0.002304803367591979,0.6596274834549362,0.048475732196237166,0.2514609027558452,0.15512478949498126,-0.06027403287815514,0.5631958383898455,0.11143090791093231,0.3412988662965569,0.15567160840743244,0.028465056916900766,0.6541326756762131,0.033127795394168325,0.39376044426652834,0.16537904193140082,0.06141881686102707,0.7261020716720297,0.02119903327747871,Tertiary
areaCity...5,0.2329548249881715,0.16264226264520998,-0.0938870385343124,0.5597966885106553,0.15840278335752744,0.11218732985316113,0.1520799945124813,-0.19342886118187194,0.41780352088819417,0.46422327516434914,0.1314817876081064,0.1293978105890888,-0.12855284829046618,0.3915164235066789,0.31457040319325064,0.32067824277702883,0.13366664513594176,0.05206506268169875,0.5892914228723589,0.020284935221673767,0.27136530508210543,0.14882659600929396,-0.027712936884409012,0.5704435470486199,0.07435096168297452,Tertiary
areaRegional Center...6,0.21581972986807374,0.6374038831607345,-1.0650913297817575,1.496730789517905,0.7363639032357179,0.15902062006882098,0.6269146460283691,-1.1008115283834323,1.4188527685210741,0.800822703824322,0.2247812602961442,0.6318991044856068,-1.0450675324422734,1.4946300530345615,0.7235746694853427,0.26054461865711875,0.6302985153094621,-1.0060876697081014,1.5271769070223389,0.6811412631342093,0.2123864003367747,0.6211603440844605,-1.035882045422035,1.4606548460955846,0.7338741624023486,Tertiary
sexMale...7,0.5686258913868034,0.1014327850848108,0.36478907824731555,0.7724627045262913,9.414019258199051e-7,0.39098280710999295,0.05021242135484549,0.290077168558996,0.4918884456609899,4.055712338423217e-10,0.2987788320652964,0.04470286247497734,0.208945066606788,0.3886125975238047,2.050933965098669e-8,0.26952067369256416,0.04883673493226631,0.17137958051043728,0.36766176687469104,1.2781614509711587e-6,0.21362133505860742,0.06577771081132082,0.08143607625712884,0.345806593860086,0.0021034453660212686,Tertiary
marital_status2. Married/Civil partnership...8,-0.26069660190951893,0.09139132584424939,-0.44435434721453204,-0.07703885660450585,0.006334998819625919,-0.15267163456995264,0.04233211795168054,-0.237741210540884,-0.06760205859902127,7.261419586475127e-4,-0.0729724031614515,0.042617108929101005,-0.15861468994341227,0.01266988362050929,0.09316780621507512,-0.05264059985735735,0.037529308284176874,-0.12805856845182845,0.022777368737113737,0.16702472372117122,-0.11523695232969418,0.055158856985266985,-0.2260828254356399,-0.004391079223748456,0.04190651911899757,Tertiary
marital_status3. Divorced/Separated/Widowed...9,-0.13663878086967257,0.36108366444509477,-0.8622635714704188,0.5889860097310735,0.7067583318278864,0.01669068441735657,0.16406301454439345,-0.31300628693983085,0.34638765577454395,0.9193834796678525,0.11898994177094097,0.13976460850702768,-0.16187755451184455,0.3998574380537265,0.39871124049948814,0.18425579164937408,0.16596728981457165,-0.149267964135441,0.5177795474341892,0.27233423520276095,0.020898937981704408,0.1741258769105438,-0.32902011240113843,0.3708179883645472,0.9049564838267092,Tertiary
regionКраснодар...10,0.0488779948284997,0.6016287563568766,-1.1601402558911402,1.2578962455481395,0.9355798164073427,-0.028514034327638403,0.5817228033326581,-1.1975297747783509,1.140501706123074,0.9611053756071435,0.03483598349440393,0.6054674683954421,-1.181896447880407,1.2515684148692148,0.9543524736396154,0.061035963200481824,0.6127117987367602,-1.170254495037826,1.2923264214387895,0.9210555526000751,0.10699004227358144,0.640914258964928,-1.1809753816653747,1.3949554662125376,0.8681093920629482,Tertiary
"regionУдмуртская Республика, Глазов и Глазовский...11",0.10207323822090004,0.241074545770483,-0.38238419926164213,0.5865306757034422,0.6738493193310224,-0.11150026719203224,0.22289830494908142,-0.559431181215788,0.33643064683172363,0.6191529043126331,-0.1387915774335728,0.20317587231172926,-0.5470887792133563,0.26950562434621067,0.49775434866214197,-0.23380167991896844,0.21319650564365394,-0.6622360983029396,0.19463273846500273,0.2781554044722161,-0.1738867081613445,0.2275184421792586,-0.6311021355550033,0.2833287192323143,0.4483681688628267,Tertiary
