"","variable","q50_estimate","q50_std.error","q50_ci.low","q50_ci.upp","q50_p.value","q75_estimate","q75_std.error","q75_ci.low","q75_ci.upp","q75_p.value","q90_estimate","q90_std.error","q90_ci.low","q90_ci.upp","q90_p.value"
"1","(Intercept)",4.677,0.077,4.522,4.831,0,4.846,0.076,4.694,4.999,0,5.107,0.109,4.888,5.326,0
"2","exp_imp",0.071,0.01,0.05,0.092,0,0.081,0.013,0.055,0.108,0,0.063,0.024,0.015,0.11,0.011
"3","I(exp_imp^2)",-0.004,0.001,-0.006,-0.002,0,-0.005,0.001,-0.007,-0.003,0,-0.004,0.002,-0.007,0,0.059
"4","areaUrban-Type Settlement",-0.035,0.047,-0.129,0.059,0.454,-0.052,0.069,-0.191,0.086,0.449,0.035,0.1,-0.167,0.236,0.73
"5","areaCity",0.156,0.059,0.039,0.274,0.01,0.2,0.054,0.091,0.308,0.001,0.2,0.082,0.036,0.364,0.018
"6","areaRegional Center",0.185,0.261,-0.339,0.71,0.481,0.206,0.216,-0.228,0.64,0.345,0.277,0.18,-0.084,0.638,0.13
"7","sexMale",0.252,0.029,0.193,0.311,0,0.267,0.025,0.217,0.318,0,0.238,0.036,0.166,0.311,0
"8","marital_status2. Married/Civil partnership",0.013,0.023,-0.033,0.059,0.559,0.002,0.028,-0.054,0.059,0.937,-0.017,0.035,-0.086,0.053,0.637
"9","marital_status3. Divorced/Separated/Widowed",0.024,0.067,-0.112,0.16,0.723,0.022,0.082,-0.142,0.185,0.793,-0.006,0.089,-0.185,0.174,0.949
"10","O",0.075,0.024,0.027,0.123,0.003,0.088,0.023,0.043,0.134,0,0.092,0.028,0.036,0.148,0.002
"11","C",-0.007,0.023,-0.054,0.039,0.754,-0.037,0.024,-0.085,0.011,0.128,-0.014,0.027,-0.069,0.042,0.625
"12","E",0.035,0.022,-0.009,0.079,0.113,0.042,0.021,0,0.084,0.051,0.044,0.023,-0.001,0.089,0.057
"13","A",0.017,0.023,-0.028,0.063,0.446,0.018,0.025,-0.032,0.067,0.471,0.003,0.022,-0.041,0.047,0.897
"14","ES",0.004,0.018,-0.032,0.04,0.828,-0.005,0.018,-0.042,0.032,0.773,-0.002,0.018,-0.039,0.035,0.922
"15","sexMale:O",-0.022,0.029,-0.081,0.037,0.462,-0.024,0.024,-0.072,0.024,0.312,-0.018,0.037,-0.092,0.056,0.624
"16","sexMale:C",0.012,0.029,-0.047,0.071,0.678,0.021,0.03,-0.038,0.08,0.479,0.034,0.033,-0.032,0.101,0.305
"17","sexMale:E",-0.029,0.028,-0.087,0.028,0.307,-0.03,0.024,-0.079,0.019,0.226,-0.01,0.035,-0.08,0.059,0.765
"18","sexMale:A",0,0.029,-0.058,0.057,0.993,-0.009,0.026,-0.061,0.044,0.739,0.011,0.03,-0.048,0.071,0.71
"19","sexMale:ES",0.001,0.024,-0.048,0.05,0.963,-0.006,0.027,-0.06,0.047,0.816,-0.001,0.028,-0.057,0.055,0.965
