variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),4.971,1.553,1.85,8.092,0.002,5.519,1.471,2.562,8.476,0,5.603,1.458,2.673,8.532,0,5.925,1.417,3.077,8.772,0,5.929,1.483,2.948,8.909,0
edu_lvl2. Secondary School,0.18,0.167,-0.155,0.515,0.286,0.221,0.123,-0.025,0.467,0.077,0.264,0.085,0.092,0.435,0.003,0.304,0.086,0.131,0.476,0.001,0.391,0.123,0.145,0.637,0.002
edu_lvl3. Secondary Vocational,0.405,0.154,0.096,0.714,0.011,0.319,0.112,0.095,0.544,0.006,0.337,0.085,0.166,0.508,0,0.398,0.092,0.213,0.584,0,0.454,0.132,0.188,0.719,0.001
edu_lvl4. Tertiary,0.508,0.173,0.161,0.854,0.005,0.488,0.114,0.259,0.716,0,0.527,0.08,0.366,0.688,0,0.572,0.088,0.395,0.749,0,0.646,0.134,0.378,0.914,0
exp_imp,0.052,0.036,-0.019,0.124,0.15,0.043,0.033,-0.024,0.109,0.204,0.051,0.029,-0.007,0.108,0.082,0.025,0.035,-0.045,0.095,0.479,0.115,0.063,-0.012,0.241,0.074
I(exp_imp^2),-0.003,0.003,-0.01,0.004,0.379,-0.002,0.003,-0.008,0.004,0.508,-0.002,0.002,-0.007,0.003,0.372,-0,0.003,-0.006,0.006,0.983,-0.007,0.005,-0.018,0.003,0.178
genderMale,0.572,0.257,0.055,1.089,0.031,0.374,0.039,0.295,0.453,0,0.294,0.027,0.24,0.348,0,0.303,0.028,0.247,0.359,0,0.329,0.046,0.237,0.422,0
areaГород,-1.073,1.502,-4.091,1.946,0.479,-1.043,1.45,-3.958,1.871,0.475,-1.019,1.446,-3.924,1.886,0.484,-0.944,1.431,-3.82,1.932,0.513,-0.897,1.4,-3.709,1.916,0.525
areaПГТ,-1.021,1.5,-4.035,1.993,0.499,-1.139,1.465,-4.083,1.804,0.44,-1.117,1.45,-4.03,1.797,0.445,-1.032,1.417,-3.881,1.816,0.47,-1.114,1.406,-3.939,1.712,0.432
areaСело,-1.269,1.467,-4.218,1.68,0.391,-1.181,1.445,-4.085,1.723,0.418,-1.153,1.435,-4.036,1.73,0.426,-1.022,1.398,-3.832,1.788,0.468,-0.958,1.388,-3.747,1.832,0.494
