variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),5.071,1.477,2.103,8.039,0.001,5.487,1.335,2.805,8.169,0,5.655,1.316,3.011,8.299,0,5.843,1.321,3.188,8.498,0,5.963,1.326,3.299,8.628,0
edu_lvl2. Secondary School,0.096,0.165,-0.236,0.427,0.565,0.181,0.119,-0.058,0.419,0.134,0.146,0.082,-0.019,0.312,0.082,0.179,0.072,0.035,0.323,0.016,0.215,0.107,0.001,0.429,0.049
edu_lvl3. Secondary Vocational,0.334,0.163,0.006,0.661,0.046,0.299,0.116,0.066,0.531,0.013,0.229,0.075,0.077,0.38,0.004,0.264,0.078,0.107,0.422,0.001,0.266,0.111,0.042,0.489,0.021
edu_lvl4. Tertiary,0.423,0.156,0.11,0.737,0.009,0.461,0.115,0.229,0.693,0,0.411,0.075,0.261,0.561,0,0.441,0.077,0.287,0.595,0,0.477,0.112,0.252,0.703,0
exp_imp,0.054,0.052,-0.05,0.158,0.301,0.051,0.033,-0.015,0.117,0.129,0.067,0.029,0.01,0.125,0.023,0.029,0.035,-0.041,0.1,0.408,0.117,0.06,-0.004,0.237,0.058
I(exp_imp^2),-0.003,0.004,-0.012,0.006,0.448,-0.002,0.003,-0.008,0.003,0.375,-0.004,0.002,-0.009,0.001,0.161,-0.001,0.003,-0.007,0.005,0.746,-0.008,0.005,-0.018,0.002,0.128
genderMale,0.497,0.112,0.271,0.723,0,0.37,0.036,0.297,0.443,0,0.282,0.023,0.236,0.329,0,0.284,0.027,0.228,0.339,0,0.296,0.041,0.213,0.379,0
areaГород,-0.958,1.366,-3.702,1.787,0.486,-0.986,1.348,-3.694,1.723,0.468,-0.932,1.332,-3.608,1.744,0.487,-0.872,1.342,-3.568,1.824,0.519,-0.649,1.29,-3.242,1.944,0.617
areaПГТ,-0.945,1.335,-3.627,1.737,0.482,-1.107,1.349,-3.819,1.604,0.416,-1.067,1.326,-3.733,1.599,0.425,-1,1.323,-3.66,1.66,0.453,-0.857,1.293,-3.455,1.741,0.51
areaСело,-1.224,1.376,-3.989,1.541,0.378,-1.158,1.347,-3.865,1.549,0.394,-1.111,1.342,-3.809,1.586,0.412,-1.03,1.337,-3.716,1.656,0.445,-0.799,1.314,-3.44,1.842,0.546
