variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
"regionНовосибирская область, Бердский район (с 2003",0.238,0.278,-0.321,0.797,0.397,-0.159,0.239,-0.639,0.321,0.509,-0.144,0.182,-0.51,0.221,0.431,-0.103,0.254,-0.613,0.407,0.686,-0.198,0.236,-0.671,0.276,0.406,Tertiary
O,0.02,0.052,-0.085,0.125,0.703,0.012,0.033,-0.054,0.078,0.721,0.03,0.028,-0.027,0.087,0.3,0.054,0.024,0.004,0.103,0.034,0.068,0.033,0.001,0.136,0.046,Tertiary
C,0.114,0.044,0.026,0.203,0.012,0.073,0.044,-0.015,0.162,0.101,0.022,0.026,-0.03,0.074,0.406,-0.018,0.019,-0.057,0.02,0.341,-0.007,0.033,-0.074,0.06,0.836,Tertiary
E,0.067,0.045,-0.024,0.158,0.144,-0.005,0.027,-0.059,0.05,0.86,0.004,0.024,-0.044,0.052,0.859,0.013,0.018,-0.024,0.049,0.491,0.023,0.03,-0.038,0.084,0.45,Tertiary
A,0.011,0.033,-0.056,0.078,0.75,0.022,0.025,-0.029,0.073,0.384,-0.007,0.034,-0.075,0.061,0.836,-0.005,0.022,-0.05,0.041,0.837,-0.011,0.028,-0.068,0.046,0.71,Tertiary
ES,-0.021,0.046,-0.113,0.071,0.644,-0.013,0.035,-0.084,0.058,0.706,-0.028,0.026,-0.08,0.023,0.276,-0.03,0.019,-0.069,0.009,0.125,-0.019,0.029,-0.078,0.039,0.509,Tertiary
(Intercept),4.28,0.127,4.024,4.535,0,4.51,0.14,4.229,4.791,0,4.687,0.141,4.403,4.97,0,4.868,0.156,4.553,5.182,0,5.089,0.136,4.816,5.362,0,Secondary Vocational
exp_imp,0.062,0.025,0.012,0.112,0.016,0.076,0.025,0.026,0.125,0.003,0.066,0.019,0.027,0.105,0.001,0.074,0.025,0.025,0.123,0.004,0.096,0.033,0.03,0.162,0.005,Secondary Vocational
I(exp_imp^2),-0.005,0.003,-0.011,0.001,0.095,-0.005,0.003,-0.01,-0,0.048,-0.004,0.002,-0.008,-0,0.037,-0.004,0.002,-0.009,0,0.064,-0.006,0.003,-0.012,-0,0.034,Secondary Vocational
areaUrban-Type Settlement,-0.01,0.153,-0.317,0.297,0.95,-0.025,0.091,-0.209,0.159,0.787,-0.033,0.081,-0.196,0.131,0.69,-0.077,0.114,-0.307,0.152,0.502,-0.059,0.122,-0.305,0.186,0.63,Secondary Vocational
areaCity,0.033,0.115,-0.198,0.264,0.776,0.075,0.084,-0.094,0.244,0.378,0.126,0.092,-0.058,0.309,0.176,0.108,0.101,-0.094,0.311,0.288,0.111,0.129,-0.148,0.371,0.393,Secondary Vocational
areaRegional Center,0.118,0.525,-0.936,1.173,0.822,0.192,0.473,-0.759,1.143,0.687,0.273,0.476,-0.683,1.23,0.568,0.325,0.413,-0.506,1.156,0.436,0.232,0.51,-0.794,1.257,0.652,Secondary Vocational
sexMale,0.445,0.044,0.356,0.535,0,0.389,0.052,0.285,0.494,0,0.328,0.048,0.232,0.424,0,0.304,0.046,0.211,0.397,0,0.304,0.061,0.181,0.426,0,Secondary Vocational
marital_status2. Married/Civil partnership,0.011,0.064,-0.119,0.14,0.868,0.033,0.045,-0.057,0.122,0.471,0.072,0.046,-0.019,0.164,0.119,0.074,0.054,-0.036,0.183,0.181,-0.02,0.056,-0.132,0.093,0.725,Secondary Vocational
marital_status3. Divorced/Separated/Widowed,0.337,0.179,-0.023,0.698,0.066,0.177,0.105,-0.035,0.389,0.1,0.113,0.126,-0.14,0.365,0.374,0.129,0.102,-0.075,0.334,0.21,-0.072,0.117,-0.307,0.163,0.54,Secondary Vocational
regionКраснодар,-0.118,0.505,-1.133,0.898,0.817,-0.36,0.51,-1.386,0.665,0.483,-0.515,0.527,-1.575,0.545,0.334,-0.524,0.446,-1.42,0.372,0.246,-0.46,0.569,-1.605,0.684,0.423,Secondary Vocational
"regionУдмуртская Республика, Глазов и Глазовский",-0.638,0.252,-1.144,-0.132,0.015,-0.943,0.244,-1.435,-0.452,0,-0.598,0.234,-1.069,-0.127,0.014,-0.736,0.276,-1.29,-0.183,0.01,-0.799,0.315,-1.431,-0.167,0.014,Secondary Vocational
"regionПермский край, Соликамск и Соликамский райо",-0.346,0.241,-0.829,0.137,0.157,-0.439,0.195,-0.831,-0.046,0.029,-0.279,0.191,-0.663,0.105,0.15,-0.277,0.186,-0.651,0.097,0.143,-0.267,0.191,-0.65,0.117,0.169,Secondary Vocational
"regionКалужская область, Куйбышевский район",-0.365,0.264,-0.896,0.167,0.174,-0.508,0.328,-1.168,0.151,0.127,-0.291,0.362,-1.018,0.436,0.425,-0.108,0.4,-0.911,0.696,0.789,-0.11,0.323,-0.759,0.539,0.735,Secondary Vocational
"regionТамбовская область, Уварово и Уваровский ра",-0.652,0.17,-0.993,-0.311,0,-0.822,0.16,-1.144,-0.5,0,-0.727,0.177,-1.083,-0.371,0,-0.646,0.234,-1.115,-0.176,0.008,-0.574,0.224,-1.025,-0.124,0.014,Secondary Vocational
"regionВолгоградская область, Руднянский район",-0.906,0.253,-1.415,-0.398,0.001,-0.823,0.172,-1.168,-0.478,0,-0.759,0.184,-1.129,-0.389,0,-0.504,0.208,-0.921,-0.087,0.019,-0.617,0.194,-1.007,-0.226,0.003,Secondary Vocational
regionКазань,-0.566,0.581,-1.735,0.603,0.335,-0.633,0.53,-1.698,0.432,0.238,-0.565,0.516,-1.601,0.471,0.278,-0.594,0.405,-1.408,0.219,0.148,-0.577,0.504,-1.589,0.436,0.258,Secondary Vocational
regionКурган,-0.437,0.58,-1.602,0.728,0.454,-0.713,0.495,-1.708,0.281,0.156,-0.795,0.533,-1.867,0.277,0.142,-0.58,0.502,-1.589,0.429,0.254,-0.528,0.555,-1.643,0.588,0.346,Secondary Vocational
"regionОренбургская область, Орск",-0.438,0.177,-0.793,-0.082,0.017,-0.607,0.168,-0.945,-0.269,0.001,-0.529,0.213,-0.956,-0.101,0.016,-0.582,0.194,-0.971,-0.192,0.004,-0.58,0.201,-0.983,-0.177,0.006,Secondary Vocational
"regionРеспублика Чувашия, Шумерля и Шумерлинский",-0.449,0.553,-1.56,0.662,0.421,-0.595,0.44,-1.478,0.289,0.182,-0.438,0.271,-0.983,0.108,0.113,-0.352,0.3,-0.955,0.252,0.247,-0.324,0.276,-0.88,0.231,0.246,Secondary Vocational
"regionСтавропольский край, Георгиевск и Георгиев",-0.639,0.183,-1.006,-0.272,0.001,-0.715,0.14,-0.996,-0.433,0,-0.622,0.167,-0.957,-0.287,0.001,-0.459,0.163,-0.786,-0.132,0.007,-0.606,0.192,-0.992,-0.22,0.003,Secondary Vocational
"regionАлтайский край, Курьинский район",-0.666,0.156,-0.98,-0.352,0,-0.886,0.165,-1.217,-0.555,0,-0.679,0.377,-1.437,0.079,0.078,-0.419,0.429,-1.282,0.444,0.334,-0.357,0.459,-1.28,0.566,0.441,Secondary Vocational
regionКрасноярск,-0.249,0.557,-1.369,0.871,0.657,-0.479,0.508,-1.499,0.542,0.351,-0.454,0.498,-1.454,0.547,0.367,-0.403,0.433,-1.274,0.468,0.357,-0.253,0.512,-1.282,0.777,0.624,Secondary Vocational
"regionТверская область, Ржев и Ржевский район",-0.135,0.27,-0.677,0.407,0.619,-0.367,0.251,-0.872,0.137,0.15,-0.295,0.237,-0.771,0.18,0.218,-0.238,0.231,-0.703,0.227,0.308,-0.144,0.232,-0.61,0.323,0.539,Secondary Vocational
regionСаратов,-0.29,0.654,-1.605,1.025,0.66,-0.673,0.614,-1.906,0.56,0.278,-0.282,0.53,-1.346,0.783,0.597,-0.394,0.514,-1.427,0.639,0.447,-0.303,0.486,-1.28,0.674,0.536,Secondary Vocational
regionТомск,-0.073,0.585,-1.25,1.103,0.901,-0.525,0.536,-1.602,0.553,0.333,-0.251,0.529,-1.313,0.811,0.637,-0.247,0.459,-1.17,0.675,0.593,-0.18,0.479,-1.143,0.783,0.709,Secondary Vocational
regionЛипецк,-0.576,0.527,-1.635,0.483,0.28,-0.66,0.512,-1.69,0.369,0.204,-0.801,0.511,-1.828,0.226,0.123,-0.875,0.458,-1.795,0.045,0.062,-0.912,0.504,-1.925,0.1,0.076,Secondary Vocational
"regionКрасноярский край, Назарово и Назаровский р",-0.047,0.344,-0.737,0.644,0.892,-0.269,0.218,-0.708,0.17,0.224,-0.301,0.199,-0.702,0.1,0.137,-0.202,0.195,-0.593,0.19,0.305,-0.137,0.335,-0.81,0.536,0.685,Secondary Vocational
regionРеспублика Кабардино-Балкария: Залукокоаже,-0.063,0.107,-0.278,0.152,0.559,-0.329,0.146,-0.622,-0.036,0.028,-0.445,0.133,-0.711,-0.178,0.002,-0.408,0.155,-0.72,-0.096,0.012,-0.574,0.169,-0.914,-0.234,0.001,Secondary Vocational
"regionАлтайский край, Бийск и Бийский район",-0.857,0.465,-1.792,0.078,0.072,-0.425,0.688,-1.806,0.957,0.54,-0.602,0.331,-1.267,0.063,0.075,-0.664,0.192,-1.051,-0.278,0.001,-0.746,0.287,-1.322,-0.171,0.012,Secondary Vocational
"regionКоми Республика, Усинск и Усинский район (1994",0.215,0.292,-0.371,0.802,0.464,0.155,0.193,-0.234,0.543,0.428,0.166,0.207,-0.25,0.583,0.426,0.205,0.164,-0.124,0.535,0.216,0.082,0.191,-0.301,0.466,0.667,Secondary Vocational
regionВладивосток,-0.259,1.218,-2.708,2.189,0.832,-0.229,0.541,-1.316,0.858,0.674,-0.226,0.551,-1.332,0.881,0.683,-0.219,0.514,-1.252,0.814,0.672,-0.044,0.479,-1.006,0.918,0.927,Secondary Vocational
"regionАмурская область, Тамбовский район",-0.3,0.22,-0.742,0.142,0.179,-0.391,0.27,-0.933,0.152,0.154,-0.154,0.194,-0.544,0.236,0.432,-0.199,0.202,-0.605,0.208,0.331,-0.341,0.169,-0.68,-0.002,0.049,Secondary Vocational
"regionСаратовская область, Вольск и Вольский райо",-0.371,0.199,-0.771,0.029,0.068,-0.558,0.235,-1.029,-0.086,0.021,-0.514,0.153,-0.821,-0.206,0.002,-0.347,0.242,-0.833,0.138,0.157,-0.393,0.367,-1.131,0.345,0.29,Secondary Vocational
"regionКоми Республика, Сыктывкар",-0.217,0.541,-1.305,0.871,0.69,-0.298,0.502,-1.306,0.71,0.555,-0.378,0.563,-1.508,0.753,0.505,-0.32,0.475,-1.275,0.636,0.505,-0.209,0.496,-1.205,0.787,0.675,Secondary Vocational
regionЧелябинск,-0.453,0.546,-1.55,0.645,0.411,-0.659,0.498,-1.659,0.341,0.192,-0.425,0.578,-1.588,0.737,0.466,-0.454,0.49,-1.439,0.531,0.359,-0.254,0.62,-1.501,0.992,0.684,Secondary Vocational
"regionЧелябинская область, Красноармейский район",-0.146,0.21,-0.568,0.275,0.488,-0.265,0.13,-0.526,-0.005,0.046,-0.283,0.167,-0.618,0.053,0.097,-0.287,0.239,-0.767,0.194,0.236,-0.172,0.18,-0.534,0.19,0.345,Secondary Vocational
regionНижний Новгород,-0.37,0.543,-1.46,0.721,0.499,-0.437,0.491,-1.424,0.55,0.378,-0.451,0.517,-1.49,0.587,0.387,-0.372,0.43,-1.236,0.491,0.391,-0.349,0.523,-1.399,0.702,0.508,Secondary Vocational
"regionПензенская область, Земетчинский район",-0.142,0.718,-1.585,1.3,0.844,-0.56,0.518,-1.6,0.481,0.285,-0.89,0.456,-1.808,0.027,0.057,-1.064,0.505,-2.077,-0.05,0.04,-0.657,0.515,-1.691,0.378,0.208,Secondary Vocational
"regionКраснодарский край, Кущевский район",-0.627,0.309,-1.248,-0.006,0.048,-0.582,0.215,-1.014,-0.149,0.009,-0.394,0.172,-0.74,-0.048,0.027,-0.292,0.162,-0.617,0.033,0.077,-0.35,0.177,-0.705,0.004,0.053,Secondary Vocational
regionСмоленск,-0.39,0.507,-1.41,0.63,0.446,-0.693,0.526,-1.751,0.364,0.194,-0.61,0.487,-1.589,0.368,0.216,-0.655,0.471,-1.602,0.292,0.171,-0.526,0.479,-1.489,0.436,0.277,Secondary Vocational
regionТула,-0.518,1.455,-3.442,2.406,0.723,-0.587,0.508,-1.607,0.434,0.254,-0.314,0.507,-1.333,0.705,0.539,-0.319,0.449,-1.221,0.582,0.48,-0.217,0.482,-1.186,0.751,0.654,Secondary Vocational
"regionРостовская область, Батайск",-0.158,0.199,-0.559,0.242,0.43,-0.367,0.192,-0.754,0.019,0.062,-0.388,0.192,-0.774,-0.003,0.048,-0.395,0.16,-0.716,-0.074,0.017,-0.514,0.2,-0.916,-0.111,0.013,Secondary Vocational
regionМосква,0.068,0.499,-0.936,1.072,0.892,-0.127,0.485,-1.103,0.848,0.794,-0.106,0.515,-1.141,0.929,0.838,-0.042,0.444,-0.934,0.849,0.924,0.077,0.47,-0.867,1.02,0.871,Secondary Vocational
regionСанкт-Петербург,0.059,0.528,-1.003,1.12,0.912,-0.254,0.524,-1.307,0.799,0.63,-0.246,0.525,-1.3,0.808,0.641,-0.262,0.42,-1.106,0.582,0.536,-0.24,0.475,-1.195,0.715,0.616,Secondary Vocational
regionМосковская область,0.11,0.113,-0.117,0.338,0.335,-0.058,0.119,-0.297,0.181,0.628,0.221,0.152,-0.084,0.527,0.152,0.215,0.146,-0.079,0.508,0.148,0.145,0.099,-0.054,0.345,0.148,Secondary Vocational
"regionНовосибирская область, Бердский район (с 2003",-0.309,0.232,-0.775,0.157,0.189,-0.401,0.218,-0.839,0.037,0.072,-0.352,0.215,-0.785,0.08,0.108,-0.18,0.23,-0.643,0.282,0.437,-0.134,0.209,-0.554,0.286,0.526,Secondary Vocational
O,0.075,0.039,-0.004,0.154,0.062,0.043,0.03,-0.018,0.104,0.163,0.044,0.028,-0.011,0.1,0.115,0.064,0.031,0.002,0.126,0.043,0.088,0.038,0.011,0.166,0.025,Secondary Vocational
C,-0.028,0.035,-0.098,0.042,0.423,-0.024,0.018,-0.061,0.013,0.195,-0.028,0.022,-0.072,0.016,0.2,-0.017,0.025,-0.067,0.033,0.506,0.015,0.033,-0.051,0.081,0.645,Secondary Vocational
E,-0.008,0.035,-0.079,0.063,0.812,0.016,0.017,-0.019,0.051,0.354,0.027,0.024,-0.022,0.075,0.274,0.037,0.025,-0.014,0.089,0.149,0.041,0.029,-0.018,0.099,0.167,Secondary Vocational
A,-0.004,0.037,-0.078,0.07,0.909,0.032,0.027,-0.022,0.086,0.242,0.024,0.023,-0.021,0.07,0.284,0.01,0.025,-0.04,0.06,0.687,-0.009,0.026,-0.061,0.043,0.724,Secondary Vocational
ES,-0.028,0.027,-0.083,0.026,0.298,0,0.019,-0.038,0.038,0.997,0.004,0.024,-0.045,0.052,0.871,-0.014,0.024,-0.062,0.034,0.55,-0.018,0.033,-0.084,0.047,0.577,Secondary Vocational
(Intercept),4.024,0.134,3.754,4.294,0,4.334,0.105,4.123,4.544,0,4.575,0.102,4.37,4.78,0,4.804,0.083,4.637,4.97,0,5.008,0.117,4.772,5.243,0,Secondary or below
exp_imp,0.095,0.026,0.044,0.147,0.001,0.065,0.021,0.024,0.106,0.003,0.063,0.015,0.032,0.094,0,0.057,0.019,0.018,0.096,0.005,0.038,0.026,-0.014,0.089,0.146,Secondary or below
