variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
regionЛипецк,-0.232,0.184,-0.601,0.137,0.212,-0.146,0.198,-0.543,0.25,0.462,-0.369,0.192,-0.755,0.017,0.06,-0.4,0.196,-0.794,-0.007,0.046,-0.464,0.189,-0.843,-0.085,0.017,Secondary or below
"regionКрасноярский край, Назарово и Назаровский р",-0.42,0.22,-0.863,0.023,0.063,-0.496,0.222,-0.941,-0.05,0.03,-0.449,0.167,-0.784,-0.114,0.01,-0.417,0.191,-0.802,-0.033,0.034,-0.608,0.197,-1.004,-0.212,0.003,Secondary or below
regionРеспублика Кабардино-Балкария: Залукокоаже,-0.512,0.167,-0.847,-0.177,0.003,-0.725,0.118,-0.963,-0.487,0,-0.601,0.106,-0.813,-0.388,0,-0.631,0.135,-0.902,-0.359,0,-0.817,0.152,-1.122,-0.511,0,Secondary or below
"regionАлтайский край, Бийск и Бийский район",-0.415,0.249,-0.916,0.085,0.102,-0.461,0.217,-0.898,-0.024,0.039,-0.636,0.179,-0.995,-0.277,0.001,-0.691,0.146,-0.985,-0.397,0,-0.675,0.209,-1.096,-0.255,0.002,Secondary or below
"regionКоми Республика, Усинск и Усинский район (1994",-0.086,0.2,-0.488,0.316,0.668,0.13,0.22,-0.311,0.571,0.557,0.056,0.113,-0.171,0.283,0.624,0.034,0.162,-0.292,0.36,0.833,0.18,0.174,-0.17,0.531,0.306,Secondary or below
regionВладивосток,0.33,0.657,-0.99,1.649,0.618,0.212,0.2,-0.191,0.615,0.295,0.15,0.177,-0.206,0.506,0.402,0.118,0.194,-0.272,0.509,0.545,0.046,0.189,-0.334,0.427,0.808,Secondary or below
"regionАмурская область, Тамбовский район",-0.587,0.247,-1.084,-0.09,0.022,-0.598,0.257,-1.115,-0.08,0.024,-0.442,0.226,-0.896,0.012,0.056,-0.296,0.158,-0.614,0.021,0.067,-0.164,0.195,-0.556,0.229,0.406,Secondary or below
"regionСаратовская область, Вольск и Вольский райо",-0.658,0.57,-1.804,0.488,0.254,-0.593,0.751,-2.101,0.915,0.433,-0.494,0.279,-1.056,0.067,0.083,-0.401,0.226,-0.856,0.053,0.082,-0.56,0.197,-0.956,-0.164,0.007,Secondary or below
"regionКоми Республика, Сыктывкар",0.056,0.323,-0.592,0.704,0.863,-0.069,0.26,-0.592,0.453,0.791,-0.013,0.173,-0.36,0.333,0.939,-0.111,0.204,-0.521,0.298,0.587,0.057,0.188,-0.32,0.434,0.764,Secondary or below
regionЧелябинск,-0.155,0.294,-0.745,0.435,0.599,-0.155,0.208,-0.574,0.264,0.462,-0.222,0.205,-0.633,0.189,0.284,-0.226,0.216,-0.66,0.208,0.3,-0.126,0.215,-0.558,0.305,0.559,Secondary or below
"regionЧелябинская область, Красноармейский район",-0.213,0.178,-0.571,0.145,0.238,-0.38,0.153,-0.688,-0.072,0.017,-0.41,0.161,-0.733,-0.087,0.014,-0.275,0.175,-0.628,0.077,0.123,-0.277,0.156,-0.591,0.037,0.082,Secondary or below
regionНижний Новгород,-0.01,0.205,-0.422,0.401,0.96,-0.197,0.191,-0.58,0.186,0.306,-0.183,0.181,-0.547,0.181,0.318,-0.266,0.181,-0.63,0.099,0.15,-0.265,0.162,-0.59,0.06,0.108,Secondary or below
"regionПензенская область, Земетчинский район",-0.708,0.169,-1.046,-0.369,0,-0.742,0.185,-1.114,-0.371,0,-0.94,0.218,-1.379,-0.501,0,-0.919,0.386,-1.694,-0.143,0.021,-0.706,0.305,-1.319,-0.093,0.025,Secondary or below
"regionКраснодарский край, Кущевский район",-0.303,0.142,-0.588,-0.018,0.038,-0.373,0.171,-0.716,-0.029,0.034,-0.464,0.166,-0.797,-0.131,0.007,-0.226,0.158,-0.545,0.092,0.159,-0.049,0.189,-0.428,0.33,0.797,Secondary or below
regionСмоленск,0.152,0.215,-0.28,0.584,0.484,0.006,0.241,-0.478,0.491,0.979,-0.05,0.224,-0.501,0.4,0.823,-0.238,0.196,-0.632,0.156,0.23,-0.109,0.156,-0.423,0.204,0.487,Secondary or below
regionТула,0.32,0.182,-0.045,0.686,0.085,0.126,0.19,-0.255,0.507,0.51,0.054,0.212,-0.373,0.48,0.801,0.073,0.183,-0.295,0.44,0.694,0.041,0.173,-0.307,0.39,0.813,Secondary or below
"regionРостовская область, Батайск",-0.274,0.211,-0.698,0.149,0.199,-0.22,0.182,-0.587,0.146,0.232,-0.382,0.143,-0.669,-0.095,0.01,-0.445,0.115,-0.677,-0.213,0,-0.545,0.155,-0.856,-0.233,0.001,Secondary or below
regionМосква,0.45,0.169,0.11,0.79,0.01,0.387,0.15,0.086,0.688,0.013,0.373,0.159,0.053,0.694,0.023,0.476,0.14,0.195,0.757,0.001,0.516,0.143,0.228,0.803,0.001,Secondary or below
regionСанкт-Петербург,0.515,0.183,0.147,0.884,0.007,0.439,0.252,-0.067,0.946,0.088,0.303,0.22,-0.139,0.745,0.174,0.241,0.194,-0.148,0.63,0.22,0.16,0.194,-0.231,0.55,0.416,Secondary or below
regionМосковская область,0.291,0.18,-0.07,0.653,0.112,0.239,0.127,-0.016,0.493,0.065,0.15,0.115,-0.082,0.382,0.199,0.177,0.109,-0.042,0.395,0.111,0.118,0.161,-0.205,0.442,0.465,Secondary or below
"regionНовосибирская область, Бердский район (с 2003",-0.22,0.206,-0.634,0.195,0.292,-0.333,0.172,-0.678,0.013,0.059,-0.262,0.194,-0.652,0.128,0.183,-0.201,0.152,-0.507,0.106,0.194,-0.475,0.17,-0.817,-0.133,0.007,Secondary or below
O,-0.009,0.034,-0.078,0.06,0.793,0.011,0.03,-0.048,0.071,0.711,0.024,0.025,-0.025,0.073,0.333,0.024,0.029,-0.034,0.083,0.412,0.027,0.031,-0.035,0.089,0.388,Secondary or below
C,0.028,0.03,-0.034,0.089,0.37,0.02,0.029,-0.039,0.079,0.5,0.013,0.028,-0.043,0.07,0.639,0.002,0.025,-0.049,0.052,0.946,-0.049,0.022,-0.094,-0.005,0.031,Secondary or below
E,-0.037,0.034,-0.106,0.031,0.278,0.016,0.026,-0.036,0.069,0.539,0.017,0.02,-0.023,0.057,0.395,0.018,0.021,-0.025,0.06,0.413,0.051,0.027,-0.002,0.105,0.06,Secondary or below
A,0.015,0.037,-0.058,0.089,0.677,0.009,0.025,-0.04,0.058,0.708,0.003,0.027,-0.052,0.058,0.903,0.042,0.022,-0.002,0.086,0.059,0.035,0.036,-0.038,0.107,0.344,Secondary or below
ES,0.044,0.033,-0.023,0.111,0.19,0.03,0.025,-0.021,0.081,0.237,0.021,0.03,-0.04,0.082,0.49,-0.002,0.025,-0.052,0.049,0.943,-0.008,0.027,-0.062,0.047,0.782,Secondary or below
