variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),4.065,0.124,3.816,4.314,0,4.372,0.1,4.171,4.573,0,4.576,0.081,4.414,4.738,0,4.77,0.078,4.612,4.927,0,5.028,0.106,4.815,5.241,0
edu_lvl2. Secondary School,0.074,0.054,-0.033,0.182,0.172,0.038,0.053,-0.069,0.146,0.475,0.053,0.05,-0.048,0.154,0.3,0.108,0.045,0.018,0.198,0.02,0.081,0.056,-0.033,0.194,0.16
edu_lvl3. Secondary Vocational,0.119,0.06,-0.001,0.239,0.051,0.147,0.048,0.049,0.244,0.004,0.168,0.04,0.087,0.25,0,0.16,0.043,0.072,0.247,0.001,0.143,0.052,0.039,0.247,0.008
edu_lvl4. Tertiary,0.252,0.063,0.125,0.38,0,0.289,0.047,0.193,0.384,0,0.321,0.042,0.237,0.405,0,0.351,0.047,0.255,0.446,0,0.333,0.059,0.214,0.452,0
exp_imp,0.065,0.028,0.008,0.122,0.026,0.052,0.016,0.019,0.084,0.003,0.061,0.01,0.04,0.082,0,0.056,0.013,0.03,0.081,0,0.027,0.023,-0.019,0.073,0.242
I(exp_imp^2),-0.003,0.002,-0.008,0.002,0.191,-0.003,0.001,-0.005,-0,0.043,-0.003,0.001,-0.005,-0.002,0,-0.003,0.001,-0.005,-0.001,0.005,-0,0.002,-0.004,0.003,0.829
sexMale,0.39,0.044,0.302,0.477,0,0.303,0.029,0.246,0.36,0,0.29,0.019,0.252,0.328,0,0.317,0.025,0.266,0.368,0,0.261,0.042,0.176,0.345,0
areaUrban-Type Settlement,-0.027,0.086,-0.199,0.145,0.752,-0.06,0.05,-0.162,0.041,0.237,-0.039,0.063,-0.165,0.087,0.534,-0.113,0.079,-0.271,0.045,0.156,-0.037,0.083,-0.203,0.13,0.659
areaCity,0.059,0.074,-0.089,0.208,0.425,0.05,0.071,-0.094,0.194,0.488,0.111,0.042,0.027,0.195,0.011,0.172,0.052,0.069,0.276,0.002,0.156,0.069,0.017,0.294,0.028
areaRegional Center,0.075,0.218,-0.363,0.513,0.732,0.037,0.227,-0.42,0.494,0.872,0.171,0.236,-0.304,0.645,0.473,0.151,0.23,-0.311,0.612,0.514,0.166,0.227,-0.29,0.622,0.469
marital_status2. Married/Civil partnership,-0.106,0.048,-0.203,-0.009,0.033,-0.029,0.026,-0.082,0.023,0.267,0.022,0.024,-0.027,0.07,0.375,0.037,0.027,-0.017,0.091,0.174,0.04,0.03,-0.021,0.1,0.192
marital_status3. Divorced/Separated/Widowed,-0.018,0.108,-0.235,0.2,0.87,0.034,0.078,-0.123,0.191,0.668,0.041,0.058,-0.076,0.158,0.483,0.022,0.066,-0.111,0.155,0.744,0.041,0.086,-0.132,0.214,0.637
O,0.033,0.024,-0.014,0.081,0.165,0.042,0.021,-0,0.084,0.053,0.038,0.013,0.011,0.064,0.006,0.04,0.011,0.018,0.063,0.001,0.027,0.023,-0.019,0.073,0.241
C,0.033,0.022,-0.011,0.078,0.139,0.012,0.015,-0.018,0.042,0.423,-0.002,0.014,-0.03,0.026,0.893,-0.018,0.016,-0.05,0.013,0.25,-0.025,0.014,-0.054,0.003,0.081
E,0.009,0.021,-0.034,0.052,0.684,0.01,0.013,-0.016,0.037,0.448,0.021,0.011,-0.001,0.044,0.066,0.035,0.014,0.007,0.062,0.015,0.05,0.015,0.019,0.081,0.002
A,0.027,0.028,-0.03,0.084,0.347,-0.001,0.013,-0.027,0.026,0.954,0.011,0.016,-0.022,0.044,0.514,0.019,0.012,-0.005,0.044,0.125,0.026,0.016,-0.006,0.058,0.108
ES,0.045,0.024,-0.004,0.094,0.072,0.021,0.016,-0.011,0.054,0.185,0.002,0.013,-0.025,0.029,0.898,-0.001,0.012,-0.024,0.023,0.961,-0.011,0.017,-0.046,0.024,0.533
